FECHA,UTILH00,UTILH03,UTILH06,UTILH09,UTILH12,UTILH15,UTILH18,UTILH21,ANNO,MES,DIA,DIASEM
2015-01-01,2.7524221314757e-05,2.62731203459044e-05,0.0582800364320602,0.493551825606534,0.507370235807511,0.0605432780847145,2.62731203459044e-05,2.37709184081992e-05,2015,1,1,3
2015-01-02,2.00176155016414e-05,3.12775242213148e-05,0.0696875750660581,0.533331832012171,0.482275652574265,0.0457114760989671,2.62731203459044e-05,2.50220193770518e-05,2015,1,2,4
2015-01-03,2.50220193770518e-05,3.12775242213148e-05,0.064859576427256,0.512001811594203,0.497585375130114,0.0591382916966931,2.7524221314757e-05,2.25198174393466e-05,2015,1,3,5
2015-01-04,2.25198174393466e-05,2.7524221314757e-05,0.0653062194731364,0.518907888942269,0.511467591480503,0.0617393306109376,2.7524221314757e-05,2.62731203459044e-05,2015,1,4,6
2015-01-05,2.1268716470494e-05,3.12775242213148e-05,0.0529465930018416,0.424561113780126,0.434292177115862,0.0448744895508047,2.87753222836096e-05,2.00176155016414e-05,2015,1,5,0
2015-01-06,2.37709184081992e-05,3.00264232524622e-05,0.0254211205861158,0.285860307070222,0.285379884298182,0.0229376851629434,3.25286251901674e-05,2.00176155016414e-05,2015,1,6,1
2015-01-07,2.50220193770518e-05,2.7524221314757e-05,0.0183311313956282,0.192065267435343,0.239202998638802,0.0219530687004564,2.50220193770518e-05,2.00176155016414e-05,2015,1,7,2
2015-01-08,2.1268716470494e-05,3.25286251901673e-05,0.0277706882056209,0.286414544799423,0.290785891584594,0.0326074445512051,2.7524221314757e-05,2.1268716470494e-05,2015,1,8,3
2015-01-09,2.37709184081992e-05,2.50220193770518e-05,0.0319818940667788,0.33085114901113,0.37863069501161,0.0430691508527504,3.12775242213148e-05,2.50220193770518e-05,2015,1,9,4
2015-01-10,2.37709184081992e-05,2.62731203459044e-05,0.0395510549283369,0.389509017935783,0.388339238529906,0.0476519337016575,2.7524221314757e-05,2.00176155016414e-05,2015,1,10,5
2015-01-11,2.25198174393466e-05,3.00264232524622e-05,0.0255962747217551,0.238833923852991,0.391099167267195,0.0615816918888622,2.62731203459044e-05,2.50220193770518e-05,2015,1,11,6
2015-01-12,2.37709184081992e-05,2.7524221314757e-05,0.0449020137721195,0.384550904796221,0.419263952278005,0.0551022399711746,2.37709184081992e-05,1.75154135639363e-05,2015,1,12,0
2015-01-13,2.1268716470494e-05,2.37709184081992e-05,0.0270800804708143,0.338715569701337,0.474563866202258,0.0727565257426535,2.50220193770518e-05,1.75154135639363e-05,2015,1,13,1
2015-01-14,2.87753222836096e-05,2.50220193770518e-05,0.0435833533509488,0.404539744975578,0.444218412202738,0.0641877352069821,2.50220193770518e-05,2.37709184081992e-05,2015,1,14,2
2015-01-15,2.37709184081992e-05,2.62731203459044e-05,0.0416278825366322,0.394088047481784,0.451805088477861,0.0668313115541677,2.62731203459044e-05,2.62731203459044e-05,2015,1,15,3
2015-01-16,2.25198174393466e-05,2.37709184081992e-05,0.0136370005604932,0.0848684342221154,0.217020978461046,0.0459366742733606,2.7524221314757e-05,2.1268716470494e-05,2015,1,16,4
